PI,TIME,PROC_NUM,N,SCALING,TEST_CASE_NUM
3.108000,0.000051,1,1000,strong,1
3.088000,0.000049,1,1000,weak,1
3.088000,0.000049,1,1000,strong,2
3.088000,0.000058,1,1000,weak,2
3.088000,0.000050,1,1000,strong,3
3.088000,0.000049,1,1000,weak,3
3.088000,0.000051,1,1000,strong,4
3.104000,0.000048,1,1000,weak,4
3.104000,0.000050,1,1000,strong,5
3.104000,0.000049,1,1000,weak,5
3.104000,0.000175,2,1000,strong,1
3.172000,0.000161,2,1000,weak,1
3.120000,0.000072,2,1000,strong,2
3.134000,0.000154,2,1000,weak,2
3.152000,0.000127,2,1000,strong,3
3.152000,0.000102,2,1000,weak,3
3.116000,0.000105,2,1000,strong,4
3.098000,0.000098,2,1000,weak,4
3.176000,0.000198,2,1000,strong,5
3.128000,0.000161,2,1000,weak,5
3.132000,0.000169,3,1000,strong,1
3.120000,0.000158,3,1000,weak,1
3.168000,0.000167,3,1000,strong,2
3.172000,0.000129,3,1000,weak,2
3.196000,0.000137,3,1000,strong,3
3.136000,0.000160,3,1000,weak,3
3.092000,0.000168,3,1000,strong,4
3.149333,0.000206,3,1000,weak,4
3.220000,0.000182,3,1000,strong,5
3.146667,0.000156,3,1000,weak,5
3.118400,0.000266,1,10000,strong,1
3.118400,0.000248,1,10000,weak,1
3.118400,0.000255,1,10000,strong,2
3.142400,0.000249,1,10000,weak,2
3.142400,0.000256,1,10000,strong,3
3.142400,0.000249,1,10000,weak,3
3.142400,0.000274,1,10000,strong,4
3.142400,0.000249,1,10000,weak,4
3.142400,0.000256,1,10000,strong,5
3.123200,0.000262,1,10000,weak,5
3.124400,0.000224,2,10000,strong,1
3.138000,0.000300,2,10000,weak,1
3.126000,0.000260,2,10000,strong,2
3.128400,0.000358,2,10000,weak,2
3.111600,0.000242,2,10000,strong,3
3.125200,0.000339,2,10000,weak,3
3.113200,0.000265,2,10000,strong,4
3.138400,0.000366,2,10000,weak,4
3.150800,0.000210,2,10000,strong,5
3.144000,0.000339,2,10000,weak,5
3.121600,0.000245,3,10000,strong,1
3.159467,0.000372,3,10000,weak,1
3.151600,0.000191,3,10000,strong,2
3.132667,0.000384,3,10000,weak,2
3.150400,0.000266,3,10000,strong,3
3.133467,0.000375,3,10000,weak,3
3.137200,0.000223,3,10000,strong,4
3.146000,0.000385,3,10000,weak,4
3.144800,0.000289,3,10000,strong,5
3.146267,0.000381,3,10000,weak,5
3.142880,0.002345,1,100000,strong,1
3.142880,0.002387,1,100000,weak,1
3.142880,0.002346,1,100000,strong,2
3.142880,0.002280,1,100000,weak,2
3.142880,0.002342,1,100000,strong,3
3.140320,0.002337,1,100000,weak,3
3.140320,0.002345,1,100000,strong,4
3.140320,0.002296,1,100000,weak,4
3.140320,0.002341,1,100000,strong,5
3.140320,0.002276,1,100000,weak,5
3.134320,0.001249,2,100000,strong,1
3.140480,0.002377,2,100000,weak,1
3.139320,0.001283,2,100000,strong,2
3.142580,0.002369,2,100000,weak,2
3.141280,0.001269,2,100000,strong,3
3.143440,0.002315,2,100000,weak,3
3.144520,0.001220,2,100000,strong,4
3.142960,0.002352,2,100000,weak,4
3.137720,0.001263,2,100000,strong,5
3.142420,0.002367,2,100000,weak,5
3.143720,0.000925,3,100000,strong,1
3.141840,0.002442,3,100000,weak,1
3.147160,0.000921,3,100000,strong,2
3.143720,0.002391,3,100000,weak,2
3.149760,0.000929,3,100000,strong,3
3.141800,0.002357,3,100000,weak,3
3.145000,0.000958,3,100000,strong,4
3.143787,0.002388,3,100000,weak,4
3.150120,0.000894,3,100000,strong,5
3.141467,0.002389,3,100000,weak,5
